"id" "body_mass" "age_class" "prey_density" "habitat"
"554" 554 655 "adult" 23.4 "Mudflat"
"555" 555 1070 "juvenile" 9.3 "Seagrass"
"556" 556 360 "adult" 15.5 "Rocky"
"557" 557 589 "juvenile" 18.5 "Seagrass"
"558" 558 499 "adult" 23.8 "Seagrass"
"559" 559 560 "adult" 17.6 "Seagrass"
"560" 560 481 "juvenile" 14.8 "Mudflat"
"561" 561 448 "juvenile" 7.8 "Mudflat"
"562" 562 735 "adult" 17.3 "Seagrass"
"563" 563 410 "adult" 15.4 "Seagrass"
"564" 564 1009 "adult" 16.5 "Seagrass"
"565" 565 396 "adult" 14.8 "Mudflat"
"566" 566 622 "juvenile" 10.8 "Sand"
"567" 567 723 "juvenile" 11.5 "Seagrass"
"568" 568 737 "adult" 16.9 "Sand"
"569" 569 540 "juvenile" 13.1 "Mudflat"
"570" 570 617 "juvenile" 7.9 "Rocky"
"571" 571 840 "juvenile" 10.4 "Rocky"
"572" 572 360 "adult" 6.2 "Rocky"
"573" 573 456 "adult" 7.4 "Rocky"
"574" 574 671 "adult" 11.2 "Sand"
"575" 575 514 "adult" 4.9 "Sand"
"576" 576 969 "adult" 5.2 "Rocky"
"577" 577 759 "adult" 20.8 "Seagrass"
"578" 578 615 "adult" 9 "Seagrass"
"579" 579 354 "juvenile" 4.8 "Seagrass"
"580" 580 606 "adult" 11.3 "Seagrass"
"581" 581 537 "adult" 23.2 "Mudflat"
"582" 582 579 "adult" 16.7 "Seagrass"
"583" 583 397 "juvenile" 15 "Seagrass"
"584" 584 714 "adult" 21.7 "Rocky"
"585" 585 417 "adult" 8.2 "Sand"
"586" 586 554 "adult" 17.3 "Seagrass"
"587" 587 686 "juvenile" 8.9 "Seagrass"
"588" 588 456 "adult" 12 "Rocky"
"589" 589 736 "juvenile" 36.3 "Seagrass"
"590" 590 378 "juvenile" 19.5 "Seagrass"
"591" 591 224 "adult" 17.6 "Rocky"
"592" 592 706 "adult" 6.9 "Mudflat"
"593" 593 805 "adult" 8.1 "Mudflat"
"594" 594 543 "juvenile" 37.6 "Seagrass"
"595" 595 716 "adult" 6.9 "Seagrass"
"596" 596 400 "adult" 13.4 "Sand"
"597" 597 574 "adult" 18.7 "Mudflat"
"598" 598 304 "juvenile" 20 "Sand"
"599" 599 907 "adult" 20.7 "Seagrass"
"600" 600 1150 "adult" 11.1 "Seagrass"
